Commodity,Model,MAE,RMSE,MAPE,Accuracy
Gram,SARIMA,334.9851274700086,435.444725059824,5.834058541805266,94.16594145819474
Gram,ARIMA,318.8326181045028,416.8567079065033,5.544930095748654,94.45506990425135
Gram,XGBoost,231.1973815104167,323.57534790165823,4.045972596876095,95.9540274031239
Onion,SARIMA,99.16375281694339,121.72966171556622,4.505747367868033,95.49425263213196
Onion,ARIMA,92.26144744954465,121.53056992069236,4.010494148551788,95.98950585144821
Onion,XGBoost,116.24577897135414,138.3839406174656,5.086858782625827,94.91314121737418
Potato,SARIMA,56.07109975843525,64.72763535107308,5.173416959905489,94.8265830400945
Potato,ARIMA,26.265907935002666,34.37534166998448,2.44952050220589,97.55047949779411
Potato,XGBoost,22.42645475260417,29.816067658557397,2.066203776078629,97.93379622392138
Tomato,SARIMA,122.84164034312715,162.69901414227195,5.911129815511941,94.08887018448806
Tomato,ARIMA,113.71660170653178,170.61771980093826,5.172083145177455,94.82791685482255
Tomato,XGBoost,108.24691373697911,152.47401065893922,4.973647153047233,95.02635284695276
Tur,SARIMA,215.38956060543896,263.09574317095587,2.818121156224111,97.18187884377589
Tur,ARIMA,189.8286892527459,236.4539906066378,2.4966339018901667,97.50336609810984
Tur,XGBoost,171.60419986979161,218.35820901883855,2.25973977542897,97.74026022457103
